117,"Weapon.CM 505.name","CM 505"
118,"Weapon.1881 Shockfield.description","looks like an 1881"
119,"Weapon.CM 351 Sunflare.name","CM 351 Sunflare"
120,"Weapon.RIA 30 Strikeforce.description",""
121,"Weapon.HVM 004.description",""
122,"Weapon.CM 205.description",""
123,"Weapon.CM 505.description",""
124,"Weapon.Hard Thorn.description","MEP flechettes"
125,"Weapon.Ronson 65-a.name","Ronson 65-a"
126,"Weapon.T-101 Feldhaubitz.description","Huge, heavy two handed cannon, similar shape to a minigun"
127,"Weapon.Ronson LBM.description",""
128,"Weapon.RIA 20 DSC (deep space combat).description",""
129,"Weapon.Ronson 55.description","2 alternating barrels"
130,"Weapon.Stripper.name","Stripper"
131,"Weapon.Mixmaster.name","Mixmaster"
132,"Weapon.1881 Shockfield.name","1881 Shockfield"
133,"Weapon.HVM 008.description",""
134,"Weapon.Sub-light COM2.name","Sub-light COM2"
135,"Weapon.CM Sonic Drill.name","CM Sonic Drill"
136,"Weapon.RIA T7.description",""
137,"Weapon.CM Gigavolt.description",""
138,"Weapon.T-101 Feldhaubitz.name","T-101 Feldhaubitz"
139,"Weapon.CM 451 Starburst.name","CM 451 Starburst"
140,"Weapon.RIA 313.name","RIA 313"
141,"Weapon.Poison Claw.name","Poison Claw"
142,"Weapon.HVM 002.description",""
143,"Weapon.HVM MPG.name","HVM MPG"
144,"Weapon.RIA 7.description",""
145,"Weapon.Ronson LBM.name","Ronson LBM"
146,"Weapon.RIA 20 Striker.name","RIA 20 Striker"
147,"Weapon.Ronson WP Flamethrower.name","Ronson WP Flamethrower"
148,"Weapon.RIA 20 DSC (deep space combat).name","RIA 20 DSC (deep space combat)"
149,"Weapon.HIKS S300.name","HIKS S300"
150,"Weapon.CM 307.description",""
151,"Weapon.HVM 005 G-Class.name","HVM 005 G-Class"
152,"Weapon.Trailblazer.description","Looks like an old Colt revolver "
153,"Weapon.Ronson WP Flamethrower.description",""
154,"Weapon.Hard Thorn.name","Hard Thorn"
155,"Weapon.Stripper.description","molecular acid"
156,"Weapon.Poison Claw.description","molecular acid"
157,"Weapon.T-102 Jagdfaust.name","T-102 Jagdfaust"
158,"Weapon.HIKS S300.description",""
159,"Weapon.CM Sonic Drill.description","blurry blueish straight cone of sonic energy"
160,"Weapon.Sub-light COM2.description",""
161,"Weapon.HVM MPG.description","double barreled"
162,"Weapon.CM 351 Sunflare.description",""
163,"Weapon.CM 401 Planet Stormer.name","CM 401 Planet Stormer"
164,"Weapon.RIA 50.name","RIA 50"
165,"Weapon.Ronson 55.name","Ronson 55"
166,"Weapon.CM 401 Planet Stormer.description",""
167,"Weapon.Trailblazer.name","Trailblazer"
168,"Weapon.RIA 30 Strikeforce.name","RIA 30 Strikeforce"
169,"Weapon.Ronson 45.description",""
170,"Weapon.HVM 001.name","HVM 001"
171,"Weapon.Mixmaster.description","seeking plasma bolts (monsters ghosts ufo book)"
172,"Weapon.HVM 002.name","HVM 002"
173,"Weapon.CM 451 Starburst.description",""
174,"Weapon.CM 202.name","CM 202"
175,"Weapon.RIA T7.name","RIA T7"
176,"Weapon.HVM 001.description",""
177,"Weapon.RIA 20 Para.description",""
178,"Weapon.CM 205.name","CM 205"
179,"Weapon.T-102 Jagdfaust.description",""
180,"Weapon.RIA 313.description",""
181,"Weapon.RIA 50.description",""
182,"Weapon.Gebirgskanone.description","Shoulder mounted rapid fire hydra rocket launcher"
183,"Weapon.Ronson 65-a.description",""
184,"Weapon.HVM 005 G-Class.description",""
185,"Weapon.Ronson 45.name","Ronson 45"
186,"Weapon.Gebirgskanone.name","Gebirgskanone"
187,"Weapon.CM Gigavolt.name","CM Gigavolt"
188,"Weapon.HVM 008.name","HVM 008"
189,"Weapon.CM 202.description",""
190,"Weapon.RIA 20 Striker.description",""
191,"Weapon.CM 307.name","CM 307"
192,"Weapon.RIA 7.name","RIA 7"
193,"Weapon.RIA 20 Para.name","RIA 20 Para"
194,"Weapon.HVM 004.name","HVM 004"
195,"Weapon.1881 Shockfield.name","1881 Shockfield"
196,"Weapon.Sub-light COM2.description",""
197,"Weapon.1881 Shockfield.description","looks like an 1881"
198,"Weapon.HVM 001.description",""
199,"Weapon.turret 6.description","Zeus Exclusion Zone"
200,"Weapon.T-101 Feldhaubitz.name","T-101 Feldhaubitz"
201,"Weapon.Stripper.description","molecular acid"
202,"Weapon.CM Gigavolt.description",""
203,"Weapon.turret 7.name","turret 7"
204,"Weapon.turret 1.name","turret 1"
205,"Weapon.turret 6.name","turret 6"
206,"Weapon.Ronson WP Flamethrower.name","Ronson WP Flamethrower"
207,"Weapon.CM 451 Starburst.name","CM 451 Starburst"
208,"Weapon.RIA 20 DSC (deep space combat).name","RIA 20 DSC (deep space combat)"
209,"Weapon.turret 3.name","turret 3"
210,"Weapon.Trailblazer.name","Trailblazer"
211,"Weapon.CM 505.name","CM 505"
212,"Weapon.RIA 20 DSC (deep space combat).description",""
213,"Weapon.turret 4.name","turret 4"
214,"Weapon.Ronson WP Flamethrower.description",""
215,"Weapon.HVM 005 G-Class.description",""
216,"Weapon.RIA 50.name","RIA 50"
217,"Weapon.CM 205.name","CM 205"
218,"Weapon.CM 202.name","CM 202"
219,"Weapon.CM 205.description",""
220,"Weapon.turret 8.description",""
221,"Weapon.Trailblazer.description","Looks like an old Colt revolver "
222,"Weapon.turret 3.description","heavy shot like sniper, slow"
223,"Weapon.CM 202.description",""
224,"Weapon.HVM 004.description",""
225,"Weapon.RIA 50.description",""
226,"Weapon.T-102 Jagdfaust.description",""
227,"Weapon.Ronson 45.description",""
228,"Weapon.CM 401 Planet Stormer.description",""
229,"Weapon.HIKS S300.name","HIKS S300"
230,"Weapon.T-102 Jagdfaust.name","T-102 Jagdfaust"
231,"Weapon.HVM 002.name","HVM 002"
232,"Weapon.RIA 20 Striker.name","RIA 20 Striker"
233,"Weapon.turret 5.name","turret 5"
234,"Weapon.RIA 20 Striker.description",""
235,"Weapon.HIKS R40 .name","HIKS R40 "
236,"Weapon.CM 451 Starburst.description",""
237,"Weapon.Ronson 45.name","Ronson 45"
238,"Weapon.RIA T7.description",""
239,"Weapon.CM 505.description",""
240,"Weapon.Ronson LBM.description",""
241,"Weapon.RIA 20 Para.description",""
242,"Weapon.Ronson 55.name","Ronson 55"
